Drug,Disease,Phases,Status,DegreeCentrality,EigenvectorCentrality,BetweennessCentrality,ClusteringCoefficient,RandomWalkCentrality
donepezil,alzheimer disease,PHASE3,COMPLETED,0.2629161882893226,0.05502720268909852,0.0032493887038416067,0.5130621313108098,0.002404182248138928
memantine,frontotemporal dementia,PHASE4,COMPLETED,0.2675086107921929,0.05545451890166776,0.004039387787822621,0.4983720586058902,0.002456249153702323
memantine,frontotemporal dementia,PHASE4,COMPLETED,0.2675086107921929,0.05545451890166776,0.004039387787822621,0.4983720586058902,0.002456249153702323
memantine,frontotemporal dementia,PHASE4,COMPLETED,0.2675086107921929,0.05545451890166776,0.004039387787822621,0.4983720586058902,0.002456249153702323
niacinamide,alzheimer disease,PHASE2,COMPLETED,0.31343283582089554,0.06690351846565405,0.005416596126688859,0.45106119370825254,0.002486262826989811
aspirin,communication disorders,PHASE2,COMPLETED,0.3685419058553387,0.07208132543453882,0.010592087252740922,0.37174844236760124,0.0039560986687832275
aspirin,stroke,PHASE2,COMPLETED,0.3685419058553387,0.07208132543453882,0.010592087252740922,0.37174844236760124,0.0039560986687832275
insulin,delirium,PHASE1; PHASE2,WITHDRAWN,0.25947187141216993,0.05830769998773176,0.0019471970920631263,0.5212979351032448,0.002193875128732608
salmine,delirium,PHASE1; PHASE2,WITHDRAWN,0.4293915040183697,0.08411027591690404,0.01206263856831215,0.3461455749738355,0.0042825138750898556
"analgesics, opioid",pain,PHASE2,RECRUITING,0.05510907003444317,0.011387464691022475,0.00010492675829934403,0.7437943262411347,0.0004855411161923389
medroxyprogesterone,alzheimer disease,PHASE2; PHASE3,COMPLETED,0.3478760045924225,0.07253092340509863,0.0033287346271296697,0.41846436299259065,0.002963702413863802
histidine,alzheimer disease,PHASE4,WITHDRAWN,0.12973593570608496,0.03535120209786523,0.0,1.0,0.000808357002295873
valproic acid,alzheimer disease,PHASE4,WITHDRAWN,0.4052812858783008,0.07888870487836185,0.0087689015041859,0.37582088591295393,0.0037128125724204372
quetiapine fumarate,alzheimer disease,PHASE4,WITHDRAWN,0.25143513203214696,0.05504918985222033,0.0015750410688007267,0.5557370868417746,0.0021693395724492856
valproic acid,dementia,PHASE4,WITHDRAWN,0.4052812858783008,0.07888870487836185,0.0087689015041859,0.37582088591295393,0.0037128125724204372
quetiapine fumarate,dementia,PHASE4,WITHDRAWN,0.25143513203214696,0.05504918985222033,0.0015750410688007267,0.5557370868417746,0.0021693395724492856
methylphenidate,alzheimer disease,PHASE4,COMPLETED,0.3742824339839265,0.07292943293688715,0.0071845615593371,0.3817649834827749,0.002764320635225775
methylphenidate,dementia,PHASE4,COMPLETED,0.3742824339839265,0.07292943293688715,0.0071845615593371,0.3817649834827749,0.002764320635225775
cholinesterase inhibitors,alzheimer disease,PHASE3,COMPLETED,0.21699196326061998,0.048333255814570805,0.0005221554102308337,0.6562535179556456,0.0013420974762641655
cholinesterase inhibitors,dementia,PHASE3,COMPLETED,0.21699196326061998,0.048333255814570805,0.0005221554102308337,0.6562535179556456,0.0013420974762641655
levetiracetam,alzheimer disease,PHASE2,COMPLETED,0.2835820895522388,0.05663735063859228,0.0028879596005526357,0.4776669629044469,0.0028241254608448556
levetiracetam,epilepsy,PHASE2,COMPLETED,0.2835820895522388,0.05663735063859228,0.0028879596005526357,0.4776669629044469,0.0028241254608448556
donepezil,alzheimer disease,PHASE2,COMPLETED,0.2629161882893226,0.05502720268909852,0.0032493887038416067,0.5130621313108098,0.002404182248138928
rivastigmine,alzheimer disease,PHASE4,COMPLETED,0.3559127439724455,0.07197111579602912,0.005120680846812796,0.4290426975675958,0.0028975128496209583
galantamine,alzheimer disease,PHASE3,COMPLETED,0.23421354764638347,0.05120581495852816,0.0013734823958616769,0.5959142277600695,0.0021448216771573687
simvastatin,alzheimer disease,PHASE2,COMPLETED,0.346727898966705,0.07262799354360251,0.005866442984623008,0.42106884336978284,0.0036093078012231425
donepezil,alzheimer disease,PHASE3,COMPLETED,0.2629161882893226,0.05502720268909852,0.0032493887038416067,0.5130621313108098,0.002404182248138928
vitamin e,alzheimer disease,PHASE3,COMPLETED,0.18828932261768083,0.04503849492447072,0.00034835052954539623,0.6917551997605865,0.0011870397021520403
niacinamide,alzheimer disease,PHASE1; PHASE2,COMPLETED,0.31343283582089554,0.06690351846565405,0.005416596126688859,0.45106119370825254,0.002486262826989811
galantamine,dementia,PHASE3,COMPLETED,0.23421354764638347,0.05120581495852816,0.0013734823958616769,0.5959142277600695,0.0021448216771573687
galantamine,alzheimer disease,PHASE3,COMPLETED,0.23421354764638347,0.05120581495852816,0.0013734823958616769,0.5959142277600695,0.0021448216771573687
saline solution,"dementia, vascular",PHASE4,COMPLETED,0.48220436280137774,0.0887453745232359,0.02216562363424221,0.3053983407205364,0.004814376385187441
galantamine,alzheimer disease,PHASE3,COMPLETED,0.23421354764638347,0.05120581495852816,0.0013734823958616769,0.5959142277600695,0.0021448216771573687
galantamine,"dementia, vascular",PHASE3,COMPLETED,0.23421354764638347,0.05120581495852816,0.0013734823958616769,0.5959142277600695,0.0021448216771573687
estrogens,alzheimer disease,PHASE3,COMPLETED,0.29965556831228474,0.06649716747068196,0.001564939122283681,0.49050987326849393,0.0025583074935687645
estrogens,alzheimer disease,PHASE3,COMPLETED,0.29965556831228474,0.06649716747068196,0.001564939122283681,0.49050987326849393,0.0025583074935687645
progesterone,alzheimer disease,PHASE3,COMPLETED,0.29965556831228474,0.06649716747068196,0.001564939122283681,0.49050987326849393,0.0025583074935687645
estrogens,memory disorders,PHASE3,COMPLETED,0.29965556831228474,0.06649716747068196,0.001564939122283681,0.49050987326849393,0.0025583074935687645
estrogens,memory disorders,PHASE3,COMPLETED,0.29965556831228474,0.06649716747068196,0.001564939122283681,0.49050987326849393,0.0025583074935687645
progesterone,memory disorders,PHASE3,COMPLETED,0.29965556831228474,0.06649716747068196,0.001564939122283681,0.49050987326849393,0.0025583074935687645
atorvastatin,alzheimer disease,PHASE2,COMPLETED,0.5361653272101033,0.09435273740159279,0.018263120930665955,0.27477001406107837,0.006305454486246658
donepezil,alzheimer disease,PHASE3,COMPLETED,0.2629161882893226,0.05502720268909852,0.0032493887038416067,0.5130621313108098,0.002404182248138928
donepezil,dementia,PHASE3,COMPLETED,0.2629161882893226,0.05502720268909852,0.0032493887038416067,0.5130621313108098,0.002404182248138928
donepezil,alzheimer disease,PHASE3,COMPLETED,0.2629161882893226,0.05502720268909852,0.0032493887038416067,0.5130621313108098,0.002404182248138928
donepezil,alzheimer disease,PHASE3,COMPLETED,0.2629161882893226,0.05502720268909852,0.0032493887038416067,0.5130621313108098,0.002404182248138928
naloxone,alzheimer disease,PHASE2; PHASE3,COMPLETED,0.40298507462686567,0.08378724146204106,0.007012305711783921,0.39417175417175415,0.0030665615222407487
naloxone,weight loss,PHASE2; PHASE3,COMPLETED,0.40298507462686567,0.08378724146204106,0.007012305711783921,0.39417175417175415,0.0030665615222407487
naloxone,pain,PHASE2; PHASE3,COMPLETED,0.40298507462686567,0.08378724146204106,0.007012305711783921,0.39417175417175415,0.0030665615222407487
sorbitol,alzheimer disease,PHASE2,COMPLETED,0.16991963260619977,0.040882758024673185,0.0010901227864021249,0.6787093215664645,0.0011815874037983255
sorbitol,parkinson disease,PHASE2,COMPLETED,0.16991963260619977,0.040882758024673185,0.0010901227864021249,0.6787093215664645,0.0011815874037983255
methylene blue,alzheimer disease,PHASE2,COMPLETED,0.12973593570608496,0.03535120209786523,0.0,1.0,0.000808357002295873
indigo carmine,alzheimer disease,PHASE2,COMPLETED,0.12973593570608496,0.03535120209786523,0.0,1.0,0.000808357002295873
phenazopyridine,alzheimer disease,PHASE2,COMPLETED,0.12973593570608496,0.03535120209786523,0.0,1.0,0.000808357002295873
galantamine,alzheimer disease,PHASE4,COMPLETED,0.23421354764638347,0.05120581495852816,0.0013734823958616769,0.5959142277600695,0.0021448216771573687
dicloxacillin,alzheimer disease,PHASE2; PHASE3,COMPLETED,0.14121699196326062,0.03638887400262266,0.00035672421282262513,0.875916300146608,0.0009643879074667093
donepezil,communication disorders,PHASE4,COMPLETED,0.2629161882893226,0.05502720268909852,0.0032493887038416067,0.5130621313108098,0.002404182248138928
donepezil,alzheimer disease,PHASE4,COMPLETED,0.2629161882893226,0.05502720268909852,0.0032493887038416067,0.5130621313108098,0.002404182248138928
bryostatins,alzheimer disease,PHASE2,COMPLETED,0.15499425947187143,0.03826692845463806,0.0004806882013823084,0.7649530127142068,0.0009814096300137598
donepezil,alzheimer disease,PHASE4,COMPLETED,0.2629161882893226,0.05502720268909852,0.0032493887038416067,0.5130621313108098,0.002404182248138928
donepezil,alzheimer disease,PHASE2,TERMINATED,0.2629161882893226,0.05502720268909852,0.0032493887038416067,0.5130621313108098,0.002404182248138928
donepezil,alzheimer disease,PHASE3,COMPLETED,0.2629161882893226,0.05502720268909852,0.0032493887038416067,0.5130621313108098,0.002404182248138928
acitretin,alzheimer disease,PHASE2,COMPLETED,0.12973593570608496,0.03535120209786523,0.0,1.0,0.000808357002295873
memantine,glioblastoma,PHASE2,TERMINATED,0.2675086107921929,0.05545451890166776,0.004039387787822621,0.4983720586058902,0.002456249153702323
memantine,alzheimer disease,PHASE4,COMPLETED,0.2675086107921929,0.05545451890166776,0.004039387787822621,0.4983720586058902,0.002456249153702323
raloxifene hydrochloride,alzheimer disease,PHASE2; PHASE3,COMPLETED,0.13662456946039037,0.036401495430160045,4.0388019184870035e-05,0.9282153539381854,0.0008721219427559884
memantine,dementia,PHASE4,COMPLETED,0.2675086107921929,0.05545451890166776,0.004039387787822621,0.4983720586058902,0.002456249153702323
donepezil,dementia,PHASE4,COMPLETED,0.2629161882893226,0.05502720268909852,0.0032493887038416067,0.5130621313108098,0.002404182248138928
donepezil,alzheimer disease,PHASE3,COMPLETED,0.2629161882893226,0.05502720268909852,0.0032493887038416067,0.5130621313108098,0.002404182248138928
dronabinol,dementia,PHASE2,COMPLETED,0.2663605051664753,0.05008983791657748,0.0028999642319035073,0.4957456336766682,0.0017222311031877438
dronabinol,dementia,PHASE2,COMPLETED,0.2663605051664753,0.05008983791657748,0.0028999642319035073,0.4957456336766682,0.0017222311031877438
donepezil,ischemic stroke,PHASE2,COMPLETED,0.2629161882893226,0.05502720268909852,0.0032493887038416067,0.5130621313108098,0.002404182248138928
memantine,alzheimer disease,PHASE4,COMPLETED,0.2675086107921929,0.05545451890166776,0.004039387787822621,0.4983720586058902,0.002456249153702323
angiotensin receptor antagonists,hypertension,PHASE2,RECRUITING,0.18484500574052815,0.03994452232478339,0.000504079358503283,0.639751552795031,0.001201593195124512
losartan,hypertension,PHASE2,RECRUITING,0.29161882893226176,0.06310798889530031,0.0012720193186353972,0.5069247766954031,0.0030455092232533915
calcium channel blockers,hypertension,PHASE2,RECRUITING,0.11251435132032148,0.026912926395439393,0.0,1.0,0.0007414521804152459
amlodipine,hypertension,PHASE2,RECRUITING,0.2766934557979334,0.058712023577698294,0.001880950486041243,0.5025242047026279,0.002447978188731583
galantamine,alzheimer disease,PHASE3,COMPLETED,0.23421354764638347,0.05120581495852816,0.0013734823958616769,0.5959142277600695,0.0021448216771573687
insulin,alzheimer disease,PHASE2,COMPLETED,0.25947187141216993,0.05830769998773176,0.0019471970920631263,0.5212979351032448,0.002193875128732608
sirolimus,alzheimer disease,PHASE1; PHASE2,COMPLETED,0.36624569460390355,0.07120099485942542,0.0077235095333483,0.3576822223536602,0.003862940011879143
rosiglitazone,alzheimer disease,PHASE3,TERMINATED,0.49942594718714123,0.09787775464345418,0.00964745482193621,0.3311510143545739,0.004564691635596756
insulin detemir,alzheimer disease,PHASE2,COMPLETED,0.28702640642939153,0.06644347929937691,0.0011227620262558578,0.5389558232931727,0.0022738652808850517
insulin detemir,alzheimer disease,PHASE2,COMPLETED,0.28702640642939153,0.06644347929937691,0.0011227620262558578,0.5389558232931727,0.0022738652808850517
pregnanolone,alzheimer disease,PHASE2,RECRUITING,0.12973593570608496,0.03535120209786523,0.0,1.0,0.000813791416851372
pregnanolone,alzheimer disease,PHASE2,RECRUITING,0.12973593570608496,0.03535120209786523,0.0,1.0,0.000813791416851372
pregnanolone,neurodegenerative diseases,PHASE2,RECRUITING,0.12973593570608496,0.03535120209786523,0.0,1.0,0.000813791416851372
donepezil,alzheimer disease,PHASE2,COMPLETED,0.2629161882893226,0.05502720268909852,0.0032493887038416067,0.5130621313108098,0.002404182248138928
donepezil,alzheimer disease,PHASE2,COMPLETED,0.2629161882893226,0.05502720268909852,0.0032493887038416067,0.5130621313108098,0.002404182248138928
solifenacin succinate,alzheimer disease,PHASE2,COMPLETED,0.1320321469575201,0.03552387013700333,0.0021883454266665202,0.9693363844393593,0.000911094396980262
glycerylphosphorylcholine,stroke,PHASE4,COMPLETED,0.1515499425947187,0.039153795878506134,0.0002221165338270117,0.8211889891279204,0.0009892086707566738
lithium,alzheimer disease,PHASE2,COMPLETED,0.32721010332950634,0.06810845130849952,0.0031762760474346916,0.47808253026933534,0.0025829477512586286
lithium,folliculitis,PHASE2,COMPLETED,0.32721010332950634,0.06810845130849952,0.0031762760474346916,0.47808253026933534,0.0025829477512586286
acetaminophen,pain,PHASE4,COMPLETED,0.5591274397244547,0.09759625556678216,0.026425829931789744,0.27283021100041405,0.005452273174930741
buprenorphine,pain,PHASE4,COMPLETED,0.2766934557979334,0.052986673787532364,0.002785731192936633,0.487551867219917,0.0018282663023397314
acetaminophen,dementia,PHASE4,COMPLETED,0.5591274397244547,0.09759625556678216,0.026425829931789744,0.27283021100041405,0.005452273174930741
buprenorphine,dementia,PHASE4,COMPLETED,0.2766934557979334,0.052986673787532364,0.002785731192936633,0.487551867219917,0.0018282663023397314
sodium oxybate,alzheimer disease,PHASE4,TERMINATED,0.12973593570608496,0.03535120209786523,0.0,1.0,0.000808357002295873
donepezil,communication disorders,PHASE4,COMPLETED,0.2629161882893226,0.05502720268909852,0.0032493887038416067,0.5130621313108098,0.002404182248138928
donepezil,alzheimer disease,PHASE4,COMPLETED,0.2629161882893226,0.05502720268909852,0.0032493887038416067,0.5130621313108098,0.002404182248138928
rivastigmine,alzheimer disease,PHASE3,COMPLETED,0.3559127439724455,0.07197111579602912,0.005120680846812796,0.4290426975675958,0.0028975128496209583
interferon beta-1a,alzheimer disease,PHASE2,COMPLETED,0.15729047072330654,0.0391660526805599,0.0005105234946930603,0.7629884070416488,0.0010871753463838286
exenatide,alzheimer disease,PHASE2,TERMINATED,0.3880597014925373,0.07628841430143954,0.010089773210476872,0.36194757080399625,0.00444171697114153
trazodone,sleep wake disorders,PHASE3,COMPLETED,0.2296211251435132,0.05069464791017432,0.0010075224192586261,0.615678391959799,0.0019496889963028696
trazodone,sleep initiation and maintenance disorders,PHASE3,COMPLETED,0.2296211251435132,0.05069464791017432,0.0010075224192586261,0.615678391959799,0.0019496889963028696
trazodone,alzheimer disease,PHASE3,COMPLETED,0.2296211251435132,0.05069464791017432,0.0010075224192586261,0.615678391959799,0.0019496889963028696
dexamethasone,alzheimer disease,PHASE3,ACTIVE_NOT_RECRUITING,0.5729047072330654,0.09728832904397046,0.028646537755937007,0.2592655189897868,0.006114516735484353
dexamethasone,dementia,PHASE3,ACTIVE_NOT_RECRUITING,0.5729047072330654,0.09728832904397046,0.028646537755937007,0.2592655189897868,0.006114516735484353
dexamethasone,brain diseases,PHASE3,ACTIVE_NOT_RECRUITING,0.5729047072330654,0.09728832904397046,0.028646537755937007,0.2592655189897868,0.006114516735484353
dexamethasone,central nervous system diseases,PHASE3,ACTIVE_NOT_RECRUITING,0.5729047072330654,0.09728832904397046,0.028646537755937007,0.2592655189897868,0.006114516735484353
dexamethasone,nervous system diseases,PHASE3,ACTIVE_NOT_RECRUITING,0.5729047072330654,0.09728832904397046,0.028646537755937007,0.2592655189897868,0.006114516735484353
dexamethasone,neurodegenerative diseases,PHASE3,ACTIVE_NOT_RECRUITING,0.5729047072330654,0.09728832904397046,0.028646537755937007,0.2592655189897868,0.006114516735484353
dexamethasone,rectal diseases,PHASE3,ACTIVE_NOT_RECRUITING,0.5729047072330654,0.09728832904397046,0.028646537755937007,0.2592655189897868,0.006114516735484353
bumetanide,alzheimer disease,PHASE2,RECRUITING,0.12973593570608496,0.03535120209786523,0.0,1.0,0.000808357002295873
triethylenephosphoramide,alzheimer disease,PHASE2,COMPLETED,0.12973593570608496,0.03535120209786523,0.0,1.0,0.000808357002295873
spironolactone,alzheimer disease,PHASE4,ACTIVE_NOT_RECRUITING,0.38346727898966704,0.07677994485173209,0.0057921270056785065,0.3776411141680603,0.0033328318192827004
memantine,alzheimer disease,PHASE3,COMPLETED,0.2675086107921929,0.05545451890166776,0.004039387787822621,0.4983720586058902,0.002456249153702323
memantine,down syndrome,PHASE2,COMPLETED,0.2675086107921929,0.05545451890166776,0.004039387787822621,0.4983720586058902,0.002456249153702323
memantine,intellectual disability,PHASE2,COMPLETED,0.2675086107921929,0.05545451890166776,0.004039387787822621,0.4983720586058902,0.002456249153702323
galantamine,alzheimer disease,PHASE3,COMPLETED,0.23421354764638347,0.05120581495852816,0.0013734823958616769,0.5959142277600695,0.0021448216771573687
valproic acid,alzheimer disease,PHASE3,COMPLETED,0.4052812858783008,0.07888870487836185,0.0087689015041859,0.37582088591295393,0.0037128125724204372
galantamine,alzheimer disease,PHASE3,COMPLETED,0.23421354764638347,0.05120581495852816,0.0013734823958616769,0.5959142277600695,0.0021448216771573687
galantamine,dementia,PHASE3,COMPLETED,0.23421354764638347,0.05120581495852816,0.0013734823958616769,0.5959142277600695,0.0021448216771573687
galantamine,rectal diseases,PHASE3,COMPLETED,0.23421354764638347,0.05120581495852816,0.0013734823958616769,0.5959142277600695,0.0021448216771573687
galantamine,brain diseases,PHASE3,COMPLETED,0.23421354764638347,0.05120581495852816,0.0013734823958616769,0.5959142277600695,0.0021448216771573687
pioglitazone,alzheimer disease,PHASE2,COMPLETED,0.49942594718714123,0.09726445457068857,0.012748220321586718,0.32797287991948726,0.004817088743495566
minocycline,alzheimer disease,PHASE2,COMPLETED,0.3869115958668198,0.08157741437487498,0.004326141562082135,0.41594248975554615,0.0025725177744506497
atorvastatin,alzheimer disease,PHASE3,COMPLETED,0.5361653272101033,0.09435273740159279,0.018263120930665955,0.27477001406107837,0.006305454486246658
galantamine,alzheimer disease,PHASE4,TERMINATED,0.23421354764638347,0.05120581495852816,0.0013734823958616769,0.5959142277600695,0.0021448216771573687
rivastigmine,alzheimer disease,PHASE4,COMPLETED,0.3559127439724455,0.07197111579602912,0.005120680846812796,0.4290426975675958,0.0028975128496209583
trazodone,alzheimer disease,PHASE3,COMPLETED,0.2296211251435132,0.05069464791017432,0.0010075224192586261,0.615678391959799,0.0019496889963028696
haloperidol,alzheimer disease,PHASE3,COMPLETED,0.27898966704936856,0.0576369066020472,0.0021288733199726264,0.49624188008026393,0.0022278215581262714
donepezil,parkinson disease,PHASE4,COMPLETED,0.2629161882893226,0.05502720268909852,0.0032493887038416067,0.5130621313108098,0.002404182248138928
mifepristone,psychophysiologic disorders,PHASE3,COMPLETED,0.21239954075774972,0.047557239737212674,0.0005258930517409722,0.6514688601645123,0.0013010489083518362
interleukin-2,alzheimer disease,PHASE2,RECRUITING,0.4121699196326062,0.08041184117879872,0.007008758225593671,0.3638443223728233,0.0034739017675394297
risperidone,dementia,PHASE4,COMPLETED,0.2468427095292767,0.05531402462888638,0.0009201803978211218,0.5767876548576396,0.0021824287520443566
olanzapine,dementia,PHASE4,COMPLETED,0.24110218140068887,0.054260849073369935,0.0008253212130191565,0.5915698336750969,0.00201720691235789
haloperidol,dementia,PHASE4,COMPLETED,0.27898966704936856,0.0576369066020472,0.0021288733199726264,0.49624188008026393,0.0022278215581262714
quetiapine fumarate,dementia,PHASE4,COMPLETED,0.25143513203214696,0.05504918985222033,0.0015750410688007267,0.5557370868417746,0.0021693395724492856
escitalopram,dementia,PHASE4,COMPLETED,0.4672789896670494,0.08593877831784737,0.010989291229321067,0.3220004599314944,0.004235666029471785
citalopram,dementia,PHASE4,COMPLETED,0.24110218140068887,0.05233765879875389,0.0033703471186266837,0.5761676919571657,0.0021809561855972276
sertraline,dementia,PHASE4,COMPLETED,0.24799081515499427,0.0502482705283933,0.002707988160265081,0.4839793281653747,0.002488691168303499
escitalopram,folliculitis,PHASE4,COMPLETED,0.4672789896670494,0.08593877831784737,0.010989291229321067,0.3220004599314944,0.004235666029471785
risperidone,folliculitis,PHASE4,COMPLETED,0.2468427095292767,0.05531402462888638,0.0009201803978211218,0.5767876548576396,0.0021824287520443566
escitalopram,alzheimer disease,PHASE4,COMPLETED,0.4672789896670494,0.08593877831784737,0.010989291229321067,0.3220004599314944,0.004235666029471785
risperidone,alzheimer disease,PHASE4,COMPLETED,0.2468427095292767,0.05531402462888638,0.0009201803978211218,0.5767876548576396,0.0021824287520443566
hydrocodone,alzheimer disease,PHASE4,COMPLETED,0.2502870264064294,0.052786541263216455,0.0015813635634065449,0.5474569822009893,0.0016896552207618463
hydrocodone,alzheimer disease,PHASE4,COMPLETED,0.2502870264064294,0.052786541263216455,0.0015813635634065449,0.5474569822009893,0.0016896552207618463
acetaminophen,alzheimer disease,PHASE4,COMPLETED,0.5591274397244547,0.09759625556678216,0.026425829931789744,0.27283021100041405,0.005452273174930741
hydrocodone,dementia,PHASE4,COMPLETED,0.2502870264064294,0.052786541263216455,0.0015813635634065449,0.5474569822009893,0.0016896552207618463
hydrocodone,dementia,PHASE4,COMPLETED,0.2502870264064294,0.052786541263216455,0.0015813635634065449,0.5474569822009893,0.0016896552207618463
acetaminophen,dementia,PHASE4,COMPLETED,0.5591274397244547,0.09759625556678216,0.026425829931789744,0.27283021100041405,0.005452273174930741
hydrocodone,dementia,PHASE4,COMPLETED,0.2502870264064294,0.052786541263216455,0.0015813635634065449,0.5474569822009893,0.0016896552207618463
hydrocodone,dementia,PHASE4,COMPLETED,0.2502870264064294,0.052786541263216455,0.0015813635634065449,0.5474569822009893,0.0016896552207618463
acetaminophen,dementia,PHASE4,COMPLETED,0.5591274397244547,0.09759625556678216,0.026425829931789744,0.27283021100041405,0.005452273174930741
hydrocodone,pain,PHASE4,COMPLETED,0.2502870264064294,0.052786541263216455,0.0015813635634065449,0.5474569822009893,0.0016896552207618463
hydrocodone,pain,PHASE4,COMPLETED,0.2502870264064294,0.052786541263216455,0.0015813635634065449,0.5474569822009893,0.0016896552207618463
acetaminophen,pain,PHASE4,COMPLETED,0.5591274397244547,0.09759625556678216,0.026425829931789744,0.27283021100041405,0.005452273174930741
"immunoglobulins, intravenous",alzheimer disease,PHASE3,TERMINATED,0.21469575200918484,0.04923011320622705,0.0008812162135603568,0.5849577367603933,0.001523443688335205
docosahexaenoic acids,alzheimer disease,PHASE3,COMPLETED,0.12973593570608496,0.03535120209786523,0.0,1.0,0.000808357002295873
galantamine,alzheimer disease,PHASE3,COMPLETED,0.23421354764638347,0.05120581495852816,0.0013734823958616769,0.5959142277600695,0.0021448216771573687
galantamine,dementia,PHASE3,COMPLETED,0.23421354764638347,0.05120581495852816,0.0013734823958616769,0.5959142277600695,0.0021448216771573687
risperidone,dementia,PHASE4,COMPLETED,0.2468427095292767,0.05531402462888638,0.0009201803978211218,0.5767876548576396,0.0021824287520443566
escitalopram,dementia,PHASE4,COMPLETED,0.4672789896670494,0.08593877831784737,0.010989291229321067,0.3220004599314944,0.004235666029471785
citalopram,dementia,PHASE4,COMPLETED,0.24110218140068887,0.05233765879875389,0.0033703471186266837,0.5761676919571657,0.0021809561855972276
sertraline,dementia,PHASE4,COMPLETED,0.24799081515499427,0.0502482705283933,0.002707988160265081,0.4839793281653747,0.002488691168303499
